Date,Open,High,Low,Close,Adj Close,Volume
2018-07-12,79.529999,79.809998,79.279999,79.389999,77.342857,386600
2018-07-13,79.250000,79.699997,79.220001,79.699997,77.644867,325600
2018-07-16,79.830002,80.120003,79.769997,79.910004,77.849457,255000
2018-07-17,79.070000,79.370003,79.040001,79.139999,77.099304,491800
2018-07-18,79.599998,79.730003,79.220001,79.610001,77.557190,383300
2018-07-19,80.169998,80.410004,79.739998,80.190002,78.122231,278700
2018-07-20,80.870003,81.500000,80.800003,81.430000,79.330261,478900
2018-07-23,81.580002,81.639999,81.059998,81.110001,79.018509,317300
2018-07-24,80.470001,80.849998,80.330002,80.400002,78.326820,493200
2018-07-25,80.330002,80.889999,80.029999,80.860001,78.774956,1238000
2018-07-26,82.099998,82.190002,81.660004,81.660004,79.554329,659500
2018-07-27,81.660004,81.849998,81.519997,81.559998,79.456902,286000
2018-07-30,81.959999,82.169998,81.809998,82.000000,79.885559,203200
2018-07-31,81.809998,81.849998,81.349998,81.510002,79.408195,256400
2018-08-01,81.349998,81.589996,80.860001,81.029999,78.940567,299300
2018-08-02,81.589996,81.739998,81.089996,81.430000,79.330261,471600
2018-08-03,81.320000,82.029999,81.300003,81.959999,79.846588,280700
2018-08-06,81.669998,82.000000,81.580002,81.820000,79.710197,133800
2018-08-07,82.250000,82.419998,82.199997,82.349998,80.226532,268600
2018-08-08,82.290001,82.459999,82.050003,82.430000,80.304474,262400
2018-08-09,82.360001,82.529999,82.279999,82.300003,80.177826,176600
2018-08-10,81.410004,81.559998,80.760002,81.010002,78.921089,249200
2018-08-13,81.110001,81.260002,80.959999,81.059998,78.969795,168400
2018-08-14,81.500000,81.739998,81.370003,81.629997,79.525101,512800
2018-08-15,81.040001,81.790001,80.959999,81.750000,79.642006,253200
2018-08-16,81.480003,81.690002,81.419998,81.480003,79.378975,216500
2018-08-17,81.279999,82.120003,81.260002,82.050003,79.934273,897900
2018-08-20,82.160004,82.540001,82.080002,82.489998,80.362923,598400
2018-08-21,83.059998,83.199997,82.809998,83.019997,80.879257,868300
2018-08-22,83.150002,83.160004,82.580002,82.709999,80.577248,304600
2018-08-23,82.870003,82.959999,82.449997,82.639999,80.509056,262700
2018-08-24,82.720001,83.080002,82.660004,82.779999,80.645447,185500
2018-08-27,82.970001,83.400002,82.949997,83.379997,81.229973,294000
2018-08-28,83.339996,83.559998,83.059998,83.089996,80.947449,403700
2018-08-29,83.769997,83.949997,83.570000,83.949997,81.785271,239200
2018-08-30,83.650002,83.809998,83.349998,83.430000,81.278687,450800
2018-08-31,83.849998,84.150002,83.550003,83.750000,81.590431,259100
2018-09-04,82.330002,82.650002,82.279999,82.610001,80.479828,289400
2018-09-05,82.120003,82.500000,82.080002,82.309998,80.187561,303300
2018-09-06,82.279999,82.970001,82.250000,82.930000,80.791580,251600
2018-09-07,82.879997,83.440002,82.660004,82.940002,80.801323,276600
2018-09-10,83.410004,83.750000,83.279999,83.349998,81.200745,269400
2018-09-11,83.209999,83.220001,82.620003,82.959999,80.820801,411500
2018-09-12,83.430000,83.870003,83.400002,83.790001,81.629402,254200
2018-09-13,84.160004,84.180000,83.820000,84.029999,81.863213,206200
2018-09-14,84.220001,84.220001,83.870003,84.010002,81.843735,185500
2018-09-17,83.860001,84.070000,83.709999,83.709999,81.551468,578800
2018-09-18,83.709999,83.940002,83.199997,83.239998,81.093582,231800
2018-09-19,82.660004,82.879997,82.529999,82.750000,80.616219,315300
2018-09-20,84.019997,84.459999,83.879997,84.370003,82.194450,388500
2018-09-21,84.309998,84.589996,83.970001,83.980003,81.814507,487300
2018-09-24,84.309998,84.589996,82.669998,82.669998,80.538284,282500
2018-09-25,82.709999,82.970001,82.599998,82.809998,80.674667,447800
2018-09-26,82.980003,83.769997,82.940002,83.690002,81.531982,671300
2018-09-27,83.250000,83.599998,83.019997,83.029999,80.889000,840000
2018-09-28,83.440002,83.940002,83.169998,83.199997,81.054611,431800
2018-10-01,83.550003,83.599998,83.309998,83.540001,81.385849,513500
2018-10-02,83.269997,83.589996,83.160004,83.470001,81.317657,688200
2018-10-03,83.800003,84.000000,83.589996,83.589996,81.434555,1205700
2018-10-04,82.260002,82.489998,82.040001,82.489998,80.362923,805000
2018-10-05,81.480003,81.739998,81.099998,81.440002,79.340004,426000
2018-10-08,81.260002,81.680000,81.250000,81.660004,79.554329,192100
2018-10-09,80.940002,81.629997,80.910004,81.510002,79.408195,306100
2018-10-10,82.250000,82.370003,80.949997,81.040001,78.950317,344800
2018-10-11,80.440002,80.480003,78.959999,79.169998,77.128532,998500
2018-10-12,80.220001,80.220001,78.980003,79.449997,77.401314,742000
2018-10-15,79.910004,80.080002,79.660004,79.779999,77.722801,250700
2018-10-16,80.680000,81.000000,80.599998,80.940002,78.852898,418900
2018-10-17,80.110001,80.180000,79.389999,79.599998,77.547447,605100
2018-10-18,79.650002,80.059998,79.290001,79.510002,77.459770,343700
2018-10-19,81.769997,82.980003,81.699997,82.860001,80.723381,518700
2018-10-22,83.379997,83.589996,83.010002,83.489998,81.337135,407200
2018-10-23,83.930000,84.029999,82.790001,83.849998,81.687851,380000
2018-10-24,83.959999,84.070000,83.010002,83.239998,81.093582,590400
2018-10-25,83.940002,84.169998,83.610001,83.940002,81.775536,375200
2018-10-26,84.129997,84.300003,83.290001,83.839996,81.678108,803000
2018-10-29,83.419998,83.690002,82.650002,82.889999,80.752609,405000
2018-10-30,83.379997,84.230003,83.250000,84.160004,81.989868,420700
2018-10-31,84.160004,84.620003,83.919998,84.279999,82.106766,374200
2018-11-01,84.699997,84.879997,84.330002,84.800003,82.613365,287600
2018-11-02,84.199997,84.330002,83.290001,83.750000,81.590431,923600
2018-11-05,84.230003,84.279999,83.809998,83.949997,81.785271,765700
2018-11-06,84.010002,84.190002,83.800003,84.180000,82.009346,485200
2018-11-07,84.470001,84.669998,84.290001,84.669998,82.486710,480500
2018-11-08,84.680000,84.879997,84.230003,84.370003,82.194450,793000
2018-11-09,84.779999,84.940002,84.580002,84.870003,82.681557,499900
2018-11-12,84.459999,84.589996,84.120003,84.120003,81.950897,546600
2018-11-13,83.709999,84.330002,83.589996,84.269997,82.097023,578000
2018-11-14,84.070000,84.070000,83.190002,83.389999,81.239716,249900
2018-11-15,83.989998,84.000000,83.129997,83.650002,81.493011,451000
2018-11-16,83.620003,84.500000,83.620003,84.269997,82.097023,296800
2018-11-19,84.089996,84.260002,83.400002,83.529999,81.376106,822600
2018-11-20,83.529999,84.129997,83.449997,83.769997,81.609917,1025100
2018-11-21,83.860001,84.699997,83.750000,84.389999,82.213928,831800
2018-11-23,84.239998,84.900002,84.139999,84.599998,82.418518,115800
2018-11-26,84.639999,84.830002,84.480003,84.660004,82.476974,227400
2018-11-27,84.889999,84.919998,84.410004,84.800003,82.613365,1054900
2018-11-28,84.660004,85.080002,84.070000,85.050003,82.856918,796100
2018-11-29,85.449997,85.589996,85.239998,85.389999,83.188141,1926500
2018-11-30,85.410004,85.510002,85.029999,85.220001,83.022530,369700
2018-12-03,85.370003,85.570000,84.970001,85.449997,83.246597,318400
2018-12-04,86.320000,86.500000,85.320000,85.400002,83.197891,394600
2018-12-06,84.330002,84.750000,83.610001,84.730003,82.545166,724500
2018-12-07,85.489998,85.690002,85.000000,85.209999,83.012787,1481800
2018-12-10,85.379997,85.389999,83.919998,84.470001,82.291870,607100
2018-12-11,85.550003,85.589996,84.910004,85.190002,82.993301,2410400
2018-12-12,85.889999,86.410004,85.709999,86.099998,83.879837,2416500
2018-12-13,86.010002,86.099998,84.900002,85.139999,82.944588,1408100
2018-12-14,84.459999,84.610001,83.430000,83.500000,81.346878,1078700
2018-12-17,84.050003,84.070000,82.510002,82.779999,80.645447,526400
2018-12-18,82.800003,82.900002,81.849998,81.970001,79.856331,644900
2018-12-19,82.510002,82.720001,81.290001,81.500000,79.398453,812300
2018-12-20,81.949997,81.949997,81.050003,81.260002,79.164642,947300
2018-12-21,81.709999,82.290001,80.779999,80.779999,78.697014,677500
2018-12-24,81.080002,81.290001,79.930000,80.040001,77.976097,297600
2018-12-26,80.660004,80.949997,79.660004,80.900002,78.813927,544500
2018-12-27,79.360001,80.589996,78.620003,79.529999,77.479248,1385300
2018-12-28,81.529999,81.580002,80.610001,80.720001,78.638565,722800
2018-12-31,80.970001,81.250000,80.699997,80.959999,78.872375,380000
2019-01-02,80.599998,80.839996,80.040001,80.169998,78.102745,686200
2019-01-03,81.949997,82.379997,81.889999,82.209999,80.090141,1113500
2019-01-04,82.480003,83.599998,82.230003,83.589996,81.434555,673200
2019-01-07,82.769997,82.900002,82.389999,82.709999,80.577248,665900
2019-01-08,83.169998,83.360001,82.760002,82.970001,80.830551,457700
2019-01-09,83.389999,83.900002,83.370003,83.739998,81.580688,458100
2019-01-10,84.370003,84.820000,84.279999,84.389999,82.213928,689000
2019-01-11,84.430000,84.800003,84.309998,84.510002,82.330841,407900
2019-01-14,84.360001,84.790001,84.349998,84.430000,82.252899,310100
2019-01-15,84.580002,85.089996,84.489998,84.690002,82.506195,221800
2019-01-16,83.940002,84.139999,83.699997,84.010002,81.843735,330000
2019-01-17,84.029999,84.610001,84.029999,84.519997,82.340576,291800
2019-01-18,84.839996,85.010002,84.510002,84.629997,82.447739,299100
2019-01-22,84.660004,84.720001,84.089996,84.169998,81.999603,499700
2019-01-23,84.900002,85.040001,84.500000,84.650002,82.467232,290900
2019-01-24,85.220001,85.250000,84.720001,85.129997,82.934845,447300
2019-01-25,84.680000,85.050003,84.300003,84.540001,82.360062,351400
2019-01-28,84.660004,85.370003,84.620003,85.300003,83.100471,1062200
2019-01-29,86.180000,86.820000,86.160004,86.750000,84.513077,535600
2019-01-30,86.790001,87.209999,86.589996,87.059998,84.815079,931000
2019-01-31,86.790001,87.250000,86.559998,87.239998,84.990440,399300
2019-02-01,86.849998,87.010002,86.440002,86.660004,84.425400,407700
2019-02-04,86.199997,86.239998,85.790001,86.230003,84.006485,376600
2019-02-05,86.910004,87.459999,86.839996,87.260002,85.009926,290000
2019-02-06,87.260002,87.290001,86.570000,86.620003,84.386429,357400
2019-02-07,86.760002,86.779999,85.949997,86.150002,83.928551,181400
